post_id,user_id,post_type,post_text,visible,post_date,post_time
1,1,Message,Life is not about waiting for the storm to pass,0,2024-01-27,10:45
2,2,Story,Life is 10% what happens to us and 90% how we react to it.,0,2024-01-30,12:39
3,3,Story,Life is 10% what happens to us and 90% how we react to it.,0,2024-02-02,15:03
4,4,Story,Lorem ipsum dolor sit amet,1,2024-02-06,11:41
5,5,Message,Happiness is a choice,0,2024-01-20,13:53
6,6,Story,Success is not final,1,2024-01-28,6:08
7,7,Story,Believe you can and you're halfway there.,1,2024-02-01,8:53
8,8,Message,failure is not fatal: It is the courage to continue that counts.,0,2024-02-09,4:50
9,9,Message,stronger than you seem,0,2024-01-19,20:08
10,10,Message,In the end,0,2024-02-14,13:18
11,11,Story,stronger than you seem,0,2024-01-26,8:25
12,12,Story,The early bird catches the worm.,1,2024-01-07,4:29
13,13,Message,Life is a journey,0,2024-02-15,19:06
14,14,Story,Don't wait for the perfect moment,1,2024-01-08,9:24
15,15,Message,make it sweet.,0,2024-02-24,5:40
16,16,Story,Don't cry because it's over,1,2024-01-20,21:12
17,17,Message,Life is like a box of chocolates,0,2024-02-09,21:04
18,18,Story,Life is short,0,2024-02-11,18:48
19,19,Story,stronger than you seem,1,2024-02-17,13:34
20,20,Story,but in rising every time we fall.,0,2024-01-23,23:08
21,21,Story,Life is what happens when you're busy making other plans.,0,2024-01-26,18:06
22,22,Message,The only person you should try to be better than is the person you were yesterday.,1,2024-02-26,17:08
23,23,Message,I love to eat pizza with extra cheese.,0,2024-01-22,7:46
24,24,Message,In the end,0,2024-02-14,21:11
25,25,Story,we only regret the chances we didn't take.,1,2024-02-02,19:34
26,26,Message,The early bird catches the worm.,0,2024-01-08,6:25
27,27,Story,You miss 100% of the shots you don't take.,0,2024-01-30,16:25
28,28,Story,The greatest glory in living lies not in never falling,1,2024-02-19,15:17
29,29,Message,Every day may not be good,1,2024-01-16,5:26
30,30,Message,take the moment and make it perfect.,0,2024-01-05,9:01
31,31,Story,choose wisely.,1,2024-02-24,13:11
32,32,Message,The world is full of beauty and wonder.,0,2024-02-18,16:47
33,33,Story,Happiness is a choice,0,2024-02-19,4:43
34,34,Message,stronger than you seem,1,2024-01-17,13:45
35,35,Story,choose wisely.,1,2024-02-10,15:31
36,36,Story,Life is tough,0,2024-01-11,18:43
37,37,Story,You miss 100% of the shots you don't take.,1,2024-02-12,12:27
38,38,Story,The only person you should try to be better than is the person you were yesterday.,1,2024-01-13,4:58
39,39,Message,Coding is fun and challenging at the same time.,1,2024-01-08,19:24
40,40,Message,Life is 10% what happens to us and 90% how we react to it.,0,2024-01-11,6:36
41,41,Message,Success is not final,0,2024-01-24,0:30
42,42,Message,Lorem ipsum dolor sit amet,1,2024-01-12,4:44
43,43,Message,The best time to plant a tree was 20 years ago. The second best time is now.,0,2024-02-19,8:29
44,44,Message,but in rising every time we fall.,1,2024-02-26,12:43
45,45,Story,The quick brown fox jumps over the lazy dog.,1,2024-02-08,7:42
46,46,Message,but in rising every time we fall.,0,2024-01-06,3:26
47,47,Story,not a destination.,1,2024-02-25,2:57
48,48,Story,The only way to do great work is to love what you do.,1,2024-01-02,19:09
49,49,Message,Life is like a box of chocolates,0,2024-01-09,1:12
50,50,Story,Believe you can and you're halfway there.,1,2024-01-09,20:06
51,51,Message,You are never too old to set another goal or to dream a new dream.,1,2024-02-22,13:03
52,52,Story,smile because it happened.,0,2024-01-29,20:00
53,53,Story,everyone else is already taken.,1,2024-02-02,20:55
54,54,Story,Life is tough,0,2024-01-11,13:29
55,55,Message,everyone else is already taken.,0,2024-01-04,7:23
56,56,Message,Lorem ipsum dolor sit amet,0,2024-01-09,19:23
57,57,Story,You are never too old to set another goal or to dream a new dream.,0,2024-02-14,22:42
58,58,Message,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,1,2024-02-09,21:58
